Month;AMO;NAO;AMM;TSA;TNA;PDO;MEI;EMI;AAO;AO;PNA;SOLAR;QBO;vazao
1983-10;-0.18;1.22;-0.4;-0.08;-0.15;0.96;0.03;-1.05;1.19;1.37;0.26;1124;-10.12;419
1983-11;-0.14;-1.16;0.42;0.06;0.05;1.02;-0.13;-0.9;0.73;-0.69;1.75;925;-10.29;651
1983-12;0.02;0.18;0.52;0.39;0.23;1.69;-0.18;-0.61;0.48;0.19;-0.61;934;-11.42;1412
1984-1;-0.09;1.42;-1.62;0.68;-0.05;1.5;-0.33;-0.5;-1.1;0.91;0.6;1161;-10.65;1028
1984-2;-0.07;0.37;-2.97;0.65;-0.2;1.21;-0.53;-0.43;-0.54;-0.3;0.73;1406;-11.34;718
1984-3;-0.11;-0.79;-3.43;0.79;-0.1;1.77;0.13;-0.55;0.25;-2.39;1.08;1220;-12.98;897
1984-4;-0.14;-0.45;-2.76;0.5;-0.19;1.52;0.3;-0.69;-0.2;-0.28;1.41;1287;-14.58;1008
1984-5;-0.15;0.55;-1.77;0.26;-0.16;1.3;0.11;-0.42;-1.24;0.48;0.37;1283;-15.05;531
1984-6;-0.31;-0.12;-2.65;0.46;-0.37;0.18;-0.08;-0.19;0.43;0.01;-0.36;1003;-17.97;383
1984-7;-0.25;-0.04;-3.17;0.55;-0.35;-0.18;-0.09;-0.14;0.89;0.02;-2.61;893;-25.39;299
1984-8;-0.21;1.35;-3.57;0.77;-0.28;-0.03;-0.16;-0.3;-0.55;0.47;-1.14;837;-27.9;250
1984-9;-0.19;0.31;-3.43;0.84;-0.24;0.67;-0.1;-0.19;0.33;-0.41;-0.02;781;-25.44;268
1984-10;-0.33;0.43;-3.14;0.59;-0.49;0.58;0.01;-0.38;-0.01;-0.27;-0.53;735;-21.59;378
1984-11;-0.41;-0.2;-3.12;0.31;-0.46;0.71;-0.34;-0.68;-0.02;-0.97;0.39;763;-13.19;354
1984-12;-0.3;-0.09;-2.68;0.25;-0.5;0.82;-0.6;-0.77;-1.48;0.45;-1.9;759;-8.16;505
1985-1;-0.34;-2.38;-3.04;0.32;-0.43;1.27;-0.56;-0.21;-0.8;-2.81;1.44;745;-0.37;2695
1985-2;-0.31;-1;-2.71;0.52;-0.37;0.94;-0.59;-0.26;0.22;-1.44;-0.99;737;4.21;2126
1985-3;-0.34;-0.19;-3.92;0.14;-0.62;0.57;-0.74;-0.56;-0.13;0.55;-1.19;733;6.3;1527
1985-4;-0.38;0.2;-3.9;0.15;-0.65;0.19;-0.48;-0.41;0.03;0.65;-1.27;751;11.11;1263
1985-5;-0.32;-0.4;-4.94;0.24;-0.7;0;-0.72;-0.17;-0.07;-0.43;-0.82;802;13.57;717
1985-6;-0.11;-0.5;-0.62;0.04;-0.3;0.18;-0.1;-0.09;-0.33;-0.35;1.28;761;14.04;527
1985-7;-0.13;1.25;0.12;0.27;-0.05;1.07;-0.14;0.2;1.91;-0.39;-0.19;787;11.1;413
1985-8;-0.26;-0.74;-0.26;0.1;-0.08;0.81;-0.35;0.26;0.6;0;-0.53;715;11.08;325
1985-9;-0.23;-0.36;-0.39;0.02;-0.16;0.44;-0.51;0.22;1.51;0.11;-0.63;695;11.72;270
1985-10;-0.23;1.49;-1.1;0.27;-0.14;0.29;-0.14;0.12;0.47;1.04;-1.5;747;11.84;378
1985-11;-0.28;-0.84;-0.23;0.24;-0.08;-0.75;-0.06;0.12;1.09;-1.22;-1.83;742;11.45;507
1985-12;-0.32;0.11;-1.88;0.29;-0.25;0.38;-0.3;0;1.24;-1.95;1.08;748;9.51;1539
1986-1;-0.32;0.78;-3.85;0.2;-0.62;1.12;-0.31;-0.15;0.16;-0.57;0.6;732;8.74;1886
1986-2;-0.26;-1.58;-4.4;0.47;-0.63;1.61;-0.2;-0.13;-1.59;-2.9;0.41;836;10.15;1507
1986-3;-0.27;1.39;-4.39;0.38;-0.61;2.18;0.06;-0.05;-0.77;1.93;0.51;770;11.96;1112
1986-4;-0.31;-0.79;-5.2;0.28;-0.64;1.55;-0.15;0.04;-0.09;0.1;-0.15;751;9.11;714
1986-5;-0.21;0.84;-4.42;0.26;-0.54;1.16;0.35;-0.01;-1.85;0.37;-0.03;726;3.56;532
1986-6;-0.24;1.54;-4.37;0.41;-0.59;0.89;0.31;0.28;-0.62;0.54;0.39;676;-2.15;393
1986-7;-0.23;0.15;-3.02;0.19;-0.38;1.38;0.39;0.17;0.09;-0.01;-0.35;702;-5.25;316
1986-8;-0.25;-1.53;-2.75;0.21;-0.41;0.22;0.8;0.28;-0.16;-0.83;-1.49;684;-9.6;281
1986-9;-0.2;-0.95;-1.68;0.3;0.04;0.22;1.12;0.54;0.85;-0.02;-0.28;687;-10.21;232
1986-10;-0.3;2.2;-2.34;0.14;-0.2;1;0.98;0.34;0.31;1.43;1.18;830;-9.6;297
1986-11;-0.38;2.27;-3.41;-0.17;-0.6;1.77;0.87;0.42;-0.22;0.93;-0.71;771;-8.01;314
1986-12;-0.35;0.83;-5.95;0.02;-0.69;1.77;1.18;0.34;0.89;0.06;1.06;726;-10.51;505
1987-1;-0.26;-1.85;-3.66;0.02;-0.32;1.88;1.24;0.33;-0.95;-1.15;0.63;725;-9.93;696
1987-2;-0.2;-1.27;-2.74;0.08;-0.17;1.75;1.19;0.42;-0.71;-1.47;0.57;715;-11.37;611
1987-3;-0.01;-0.26;0.18;0.16;0.22;2.1;1.73;0.31;-0.13;-1.75;0.85;740;-14.23;996
1987-4;0.05;2.03;0.93;0.04;0.33;2.16;1.87;-0.08;-0.29;0.39;1.54;849;-16.2;710
1987-5;0.09;0.96;0.57;0.28;0.37;1.85;2.14;-0.09;0.04;0.33;-1.02;878;-20.05;462
1987-6;0.22;-1.53;2.34;0.42;0.62;0.73;1.95;0.27;-0.7;-0.71;0.56;779;-21.47;317
1987-7;0.3;0.55;0.22;0.5;0.48;2.01;1.86;0.19;-1.53;-0.47;-0.43;842;-13.96;232
1987-8;0.3;-1.19;0.78;0.43;0.56;2.83;1.98;0.19;1.49;-0.84;0.74;900;-0.6;180
1987-9;0.21;-1.04;0.38;0.32;0.4;2.44;1.89;0.22;-0.8;0.29;-2.6;861;5.88;165
1987-10;0.07;0.66;0.58;0.42;0.45;1.36;1.64;0.23;0.46;-0.08;0.75;981;9.35;238
1987-11;-0.05;0.06;-0.68;0.63;0.36;1.47;1.27;0.36;1.06;-0.54;1.19;1012;9.23;458
1987-12;0.06;0.21;1.1;0.39;0.52;1.27;1.28;0.25;0.27;-0.53;0.5;944;8.41;1260
1988-1;-0.02;0.68;-1.36;0.63;0.15;0.93;1.12;0.32;-0.61;0.27;0.03;1080;7.81;978
1988-2;-0.1;0.42;-2.51;0.66;-0.02;1.24;0.7;0.26;0.55;-1.07;1.37;1050;6.17;1304
1988-3;0.01;-0.58;-0.66;0.77;0.27;1.42;0.45;0.04;-0.22;-0.2;0.38;1149;5.86;1982
1988-4;0.07;-1.42;1.39;0.59;0.38;0.94;0.3;-0.18;-0.08;-0.56;1.12;1227;6.59;1053
1988-5;0.16;0.64;0.48;0.71;0.29;1.2;0.08;-0.32;-0.75;-0.85;0.61;1152;5.46;606
1988-6;0.18;1.19;1.71;0.73;0.34;0.74;-0.65;-0.11;-1.06;0.06;1.31;1394;0.42;474
1988-7;0.13;-0.32;1.74;0.46;0.27;0.64;-1.12;-0.32;0.58;-0.14;1.6;1527;-3.96;345
1988-8;0.01;-0.07;0.47;0.5;0.03;0.19;-1.32;-0.42;-0.75;0.26;-0.62;1542;-2.58;268
1988-9;-0.08;-0.82;0.2;0.3;0.06;-0.37;-1.5;-0.52;-0.69;1.04;-0.97;1525;-2.29;219
1988-10;-0.16;-0.66;-0.28;0.37;-0.2;-0.1;-1.32;-1.04;-2.31;0.03;0.89;1698;-1.53;351
1988-11;-0.13;-0.49;0.08;0.14;-0.23;-0.02;-1.44;-1.17;0.4;-0.04;0.11;1562;-0.84;469
1988-12;-0.15;0.48;-0.21;0.19;-0.23;-0.43;-1.31;-0.93;1.07;1.68;0.33;1998;-2.42;874
1989-1;-0.21;0.85;-2.6;0.41;-0.42;-0.95;-1.13;-1.29;0.62;3.11;-1.57;2354;-2.87;928
1989-2;-0.14;1.82;-2.84;0.23;-0.48;-1.02;-1.27;-1.28;0.85;3.28;-1.71;2224;-3.56;833
1989-3;-0.24;1.54;-4.84;0.35;-0.66;-0.83;-1.05;-0.97;0.63;1.53;-1.56;2051;-1.63;725
1989-4;-0.27;0.16;-5.79;0.29;-0.89;-0.32;-0.85;-0.81;-0.57;-0.25;-0.77;1896;-1.93;514
1989-5;-0.13;1.33;-4.45;0.33;-0.66;0.47;-0.44;-0.37;2.69;0.89;-0.04;1901;-5.46;377
1989-6;0.11;0.03;0.35;0.31;-0.17;0.36;-0.24;-0.52;2;0.35;-0.56;2396;-9.38;279
1989-7;0.19;1;2.14;0.26;0.25;0.83;-0.44;-0.49;1.46;0.87;-0.59;1819;-13.86;227
1989-8;0.13;-0.11;2.68;0.39;0.39;0.09;-0.48;-0.49;-0.13;0.55;-0.27;2171;-16.98;198
1989-9;-0.08;2.15;0.52;0.21;0.06;0.05;-0.28;-0.21;-0.12;0.7;0.41;2259;-18.83;207
1989-10;-0.11;0.48;0.54;0.28;0.12;-0.12;-0.31;-0.23;0.14;0.99;-1.08;2087;-21.3;282
1989-11;-0.13;0.03;-0.24;-0.06;-0.04;-0.5;-0.05;-0.02;0.57;0.03;-0.7;2351;-19.01;624
1989-12;-0.14;-1.15;1.63;-0.25;0.22;-0.21;0.13;0.15;-0.45;-0.64;0.57;2130;-13.54;3823
1990-1;-0.28;0.7;-0.18;-0.34;-0.08;-0.3;0.23;0.23;-0.35;1;-1.09;2101;-8.71;2322
1990-2;-0.15;1.16;-1.27;0.13;-0.1;-0.65;0.56;0.09;1.15;3.4;-2.78;1783;-6.74;1392
1990-3;-0.16;1.13;-1.6;0.32;-0.04;-0.62;0.92;0.28;0.41;2.99;0.04;1888;0.95;1285
1990-4;-0.1;2.03;-0.8;0.35;0.06;0.27;0.4;0.12;-1.88;1.88;-0.62;1853;5.72;878
1990-5;-0.04;-1.37;0.61;-0.06;0.13;0.44;0.64;0.12;-1.8;0.94;0.27;1897;11.46;658
1990-6;-0.04;0.29;-0.3;0.08;-0.02;0.44;0.49;0.07;0.09;0.3;-1.39;1709;12.9;467
1990-7;-0.01;0.56;0.91;-0.11;0.06;0.27;0.13;0.38;-1.22;-0.3;-0.26;1807;12.54;387
1990-8;0.07;1.12;2.1;-0.13;0.3;0.11;0.14;0.38;0.47;-0.18;1.76;2226;12.63;298
1990-9;0.16;1.18;2.08;-0.07;0.4;0.38;0.38;0.44;1.48;-0.21;-0.46;1774;13.21;330
1990-10;0.13;0.76;1.35;0.1;0.41;-0.69;0.28;0.67;0.14;0.66;-0.91;1820;12.39;335
1990-11;-0.04;-0.39;0.83;0.17;0.33;-1.69;0.39;0.65;-0.36;0.52;-1.66;1843;11.55;393
1990-12;-0.02;0.11;-0.54;0.22;0.17;-2.23;0.36;0.75;-0.31;1.28;-1.62;2049;10.68;480
1991-1;-0.18;0.49;-1.29;0.12;-0.14;-2.02;0.32;0.73;0.87;0.72;0.2;2294;8.71;1039
1991-2;-0.1;0.74;-1.19;0.06;-0.11;-1.19;0.31;0.58;-0.85;-0.88;1.13;2430;8.44;1161
1991-3;-0.05;-0.61;-2.06;0.14;-0.22;-0.74;0.41;0.47;0.52;-0.53;-1.21;2300;9;1724
1991-4;-0.12;0.17;-3.57;0.31;-0.39;-1.01;0.47;0.76;-0.64;0.53;0.38;1988;10.69;1499
1991-5;-0.14;0.12;-4.43;0.49;-0.42;-0.51;0.75;0.56;-0.54;0.49;-0.63;1903;3.82;690
1991-6;-0.11;-0.52;-5.03;0.44;-0.43;-1.47;1.12;0.49;-1.16;-0.12;-0.92;2068;-3.34;481
1991-7;-0.09;-0.46;-4.12;0.05;-0.39;-0.1;1.02;0.27;-1.22;-0.19;0.28;2120;-10.36;362
1991-8;-0.09;1.46;-2.15;-0.33;-0.29;0.36;1.02;0.55;0.04;0.8;-0.28;2103;-14.69;281
1991-9;-0.02;0.61;0.38;-0.36;-0.14;0.65;0.76;0.48;-0.51;-0.11;1.15;1806;-13.96;248
1991-10;-0.25;0.3;-1.31;-0.36;-0.11;0.49;1.02;0.76;-0.62;-0.25;-2.35;2013;-12.21;295
1991-11;-0.25;0.37;-1.22;-0.34;-0.15;0.42;1.2;0.58;-0.8;0.29;0.22;1720;-12.27;408
1991-12;-0.2;0.34;-2.19;-0.08;-0.18;0.09;1.33;0.67;-2.07;1.61;0.17;2239;-12.68;604
1992-1;-0.18;-0.66;-1.47;-0.27;0;0.05;1.75;0.4;0.07;0.55;0.99;2176;-13.96;1458
1992-2;-0.08;0.77;-0.98;-0.26;0.04;0.31;1.86;0.4;-1.63;1.12;0.09;2321;-14.33;3235
1992-3;-0.08;0.51;-0.75;-0.4;-0.18;0.67;1.99;0.26;-1.01;0.98;0.46;1713;-16.84;1363
1992-4;-0.17;1.88;-1.21;-0.57;-0.29;0.75;2.27;-0.01;-0.44;-0.52;-0.29;1585;-17.79;1198
1992-5;-0.21;2.49;-0.34;-0.66;-0.18;1.54;2.15;-0.05;-2.03;1.34;1.2;1254;-15.96;716
1992-6;-0.14;0.51;0.02;-0.8;-0.11;1.26;1.76;0.17;-2.19;-0.3;1.36;1167;-15.34;514
1992-7;-0.21;0.19;0.68;-0.6;-0.01;1.9;1.02;0.54;-0.57;0.19;0.38;1322;-12.05;401
1992-8;-0.37;0.97;0.08;-0.66;-0.23;1.44;0.57;0.29;-0.35;0.54;-0.37;1221;-4.75;318
1992-9;-0.36;-0.28;-0.02;-0.56;-0.21;0.83;0.52;0.36;0.44;-0.64;-1.13;1168;1.3;325
1992-10;-0.29;-1.4;0.06;-0.52;-0.06;0.93;0.66;0.22;-0.32;-0.37;0.4;1317;3.94;488
1992-11;-0.32;1.12;-0.71;-0.79;-0.3;0.93;0.59;0.33;0.12;0.72;0.8;1452;6.33;947
1992-12;-0.27;0.35;-1.34;-0.36;-0.23;0.53;0.64;0.41;0.24;1.63;-1.53;1391;8.19;2153
1993-1;-0.23;1.35;-2.26;-0.25;-0.25;0.05;0.69;0.47;-2.02;3.5;-1.48;1210;9.63;1494
1993-2;-0.17;0.12;-2.51;-0.13;-0.25;0.19;0.98;0.26;0.44;0.18;0.44;1426;10.81;1705
1993-3;-0.23;0.3;-3.14;-0.09;-0.23;0.76;0.99;0.11;-0.38;0.76;0.94;1364;11.36;1131
1993-4;-0.16;0.91;-3.26;0.2;-0.07;1.21;1.41;0.16;0.09;-0.44;1.26;1159;12.6;784
1993-5;-0.15;-0.67;-2.3;0.03;-0.04;2.13;1.99;0.1;1.26;-1.61;2.43;1124;13.56;547
1993-6;-0.17;-0.29;-0.88;-0.03;0.07;2.34;1.56;0.13;1.22;-0.52;0.66;1093;6.55;417
1993-7;-0.26;-3.14;-2.55;0.05;-0.17;2.35;1.17;0.29;1.96;-0.51;-0.28;990;0.38;323
1993-8;-0.22;0.03;-2.52;0.04;-0.11;2.69;1.03;0.29;1.08;-0.39;-0.17;937;-1.2;274
1993-9;-0.15;-0.41;-2.64;0.44;-0.12;1.56;0.99;0.42;1.06;-0.36;-0.97;870;-1.14;267
1993-10;-0.23;-0.26;-3.22;0.69;-0.13;1.41;1.06;0.38;0.75;-0.57;-0.17;1003;-4.04;299
1993-11;-0.3;2.56;-5.27;0.75;-0.34;1.24;0.84;0.37;0.32;1;-0.35;959;-5.76;273
1993-12;-0.28;1.36;-5.93;0.5;-0.41;1.07;0.6;0.4;1.03;-0.1;0.42;1048;-6;848
1994-1;-0.28;0.7;-6.23;0.32;-0.59;1.21;0.35;0.2;0.72;-0.29;-0.8;1150;-7.64;1228
1994-2;-0.3;0.08;-5.47;0.12;-0.61;0.59;0.2;0.11;1.16;-0.86;-1.27;996;-9.84;949
1994-3;-0.27;0.92;-5.56;0.24;-0.6;0.8;0.17;0.34;0.69;1.88;0.23;904;-11.29;2157
1994-4;-0.19;1.1;-4.92;0.18;-0.46;1.05;0.45;0.45;-0.05;0.23;-0.7;791;-14.71;1233
1994-5;-0.19;-0.48;-4.82;0.11;-0.5;1.23;0.56;0.4;-0.15;-0.12;0.48;799;-18.03;636
1994-6;-0.21;1.84;-3.49;-0.18;-0.43;0.46;0.81;0.5;-1.68;1.61;-1.36;773;-23.09;482
1994-7;-0.22;1.34;-2.31;-0.26;-0.39;0.06;0.89;0.79;-0.49;0.35;-0.06;805;-28.65;380
1994-8;-0.22;0.36;-2.24;-0.17;-0.29;-0.79;0.77;1.09;1.91;0.83;-1.38;761;-27.02;288
1994-9;-0.14;-1.14;-1.71;-0.15;-0.24;-1.36;0.9;0.77;-0.95;-0.08;-2.02;790;-19.07;224
1994-10;-0.05;-0.54;-1.42;-0.05;-0.08;-1.32;1.42;0.61;-0.58;0.17;-0.09;877;-10.29;233
1994-11;-0.01;0.54;-1.7;0.08;-0.03;-1.96;1.29;0.64;-0.79;1.78;-1.61;809;-0.3;437
1994-12;-0.08;1.78;-2.24;0.2;-0.13;-1.79;1.23;0.52;0.93;0.89;0.39;774;5.93;759
1995-1;-0.05;0.57;-1.37;0.4;-0.05;-0.49;1.22;0.46;1.45;-0.15;0.2;827;8.38;1049
1995-2;-0.03;0.85;-1.66;0.61;-0.04;0.46;0.96;0.53;0.53;1.43;0.68;856;8.01;1431
1995-3;0.03;0.91;-3.49;0.74;-0.05;0.75;0.88;0.71;-0.15;0.39;0.03;851;8.79;991
1995-4;0.09;-1.07;-1.58;0.61;0.11;0.83;0.44;0.69;0.65;-0.96;0.04;777;11.79;1313
1995-5;0.29;-1.33;0.76;0.59;0.3;1.46;0.52;0.57;1.4;-0.89;0.09;755;14.92;750
1995-6;0.38;0.44;1.33;0.64;0.48;1.27;0.49;0.42;-0.8;-0.11;0.9;757;15.62;497
1995-7;0.33;-0.19;2.48;0.35;0.58;1.71;0.19;0.2;-3.01;-0.22;-0.74;739;11.74;371
1995-8;0.2;0.76;2.99;-0.07;0.59;0.21;-0.16;0.15;-0.7;0.54;-0.33;738;9.53;277
1995-9;0.07;0.45;2.91;-0.04;0.4;1.16;-0.41;0.07;1.17;-0.55;1.22;720;6.98;224
1995-10;0.12;0.72;3.46;-0.05;0.37;0.47;-0.47;-0.14;-0.06;0.08;0.11;779;3.43;251
1995-11;0.14;-1.59;4.66;0.12;0.51;-0.28;-0.45;-0.26;0.14;-0.72;-0.73;742;-0.77;415
1995-12;0.06;-1.64;4.35;0;0.47;0.16;-0.55;-0.17;1.47;-2.13;0.62;726;-4.57;1076
1996-1;0;-0.65;5.71;0.18;0.74;0.59;-0.63;-0.19;0.33;-1.2;-0.68;745;-5.79;977
1996-2;-0.02;-0.52;2.64;0.43;0.4;0.75;-0.58;-0.25;-0.53;0.16;-0.7;715;-6.9;682
1996-3;-0.04;-0.66;0.09;0.47;0.22;1.01;-0.24;-0.31;0.54;-1.48;-0.75;707;-9.92;849
1996-4;0.02;-0.33;0.02;0.65;0.31;1.46;-0.5;0.04;0.12;-1.53;0.51;693;-11.08;645
1996-5;-0.05;-0.93;-0.15;0.77;0.36;2.18;-0.13;-0.15;0.98;-0.23;0.37;701;-14.88;436
1996-6;-0.11;0.87;-1.58;0.87;0.18;1.1;0.05;0.12;-0.25;0.5;-1.18;696;-17.03;315
1996-7;-0.09;0.7;-1.27;0.66;0.12;0.77;-0.2;-0.15;0.02;0.72;0.18;712;-23.93;242
1996-8;0.01;1.19;-0.58;0.35;-0.03;-0.14;-0.38;-0.33;-1.5;0.13;-0.93;724;-25.85;205
1996-9;0.01;-0.69;0.53;0.13;0.15;0.24;-0.44;-0.24;-1.31;-1.14;-0.27;694;-26.02;171
1996-10;-0.13;0.15;1.17;0.12;0.08;-0.33;-0.35;-0.11;0.97;0.18;-0.67;692;-23.4;263
1996-11;-0.16;-0.72;1.42;0.12;0.03;0.09;-0.13;0.06;-1.67;0.14;-0.44;787;-18.08;426
1996-12;-0.14;-1.4;2.32;-0.06;0.14;-0.03;-0.33;0.24;-0.02;-1.72;-1.53;778;-9.86;483
1997-1;-0.08;-1.08;4.26;-0.22;0.31;0.23;-0.49;0.27;0.37;-0.46;0.16;740;-3.57;1481
1997-2;-0.02;1.48;3.32;-0.34;0.34;0.28;-0.6;0.14;-0.24;1.89;0.45;738;1.94;939
